url,old_state,new_state,action,reason,keyword_target,redirect_status,internal_links_added
/arthritis-support/northampton,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/colchester,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/southend,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/bedford,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/swindon,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/winchester,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/chichester,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/guildford,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/stirling,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/inverness,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/wrexham,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
