bone-clinic-arthritis-frailty-uk|Bone clinics, arthritis and frailty (UK)|Health|osteoarthritis with osteoporosis|spine and hips|hospital|Wales|DEXA days and falls questions in one place|bone,falls,hospital,oa
holiday-at-home-arthritis-frailty-uk|A holiday-at-home with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|changing the scenery without a long journey|pacing,mood,home,oa
short-breaks-accessible-arthritis-frailty-uk|Short accessible breaks for frail adults with arthritis (UK)|Lifestyle|arthritis with frailty|several joints|home|Northern Ireland|one night away without pretending you are 40|pacing,aids,oa,transport
hospital-parking-walking-frail-arthritis-uk|Hospital parking, walking distance and frail arthritis (UK)|Lifestyle|arthritis with frailty|several joints|hospital|England|the hidden walk from car park to clinic|hospital,aids,oa,falls
wheelchair-for-distance-arthritis-frailty-uk|A wheelchair for distance, not for giving up: arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|using wheels so you still get to the park|aids,confidence,oa,pacing
mobility-scooter-arthritis-frailty-uk|Mobility scooters, arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|when a scooter helps and when strength still needs practice|aids,strength,oa,confidence
transfer-board-arthritis-frailty-uk|Transfer boards for frail adults with arthritis (UK)|Lifestyle|arthritis with frailty|hips|home|Northern Ireland|bed to chair without a risky hoist-by-family|ot,aids,home,oa
hoist-conversations-family-carers-uk|Hoist conversations for family carers of people with arthritis (UK)|Lifestyle|arthritis with frailty|several joints|home|England|safe moving and handling without DIY lifting|carers,ot,home,oa
pressure-cushion-arthritis-frailty-uk|Pressure cushions when arthritis keeps you sitting (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|chairs, skin and the afternoon slump|home,oa,pacing,carehome
footwear-indoor-slippers-frailty-arthritis-uk|Indoor footwear: slippers, frailty and arthritis (UK)|Lifestyle|arthritis with frailty|feet|home|Scotland|why floppy slippers sabotage sore joints|footcare,falls,oa,home
orthotics-insoles-arthritis-frailty-uk|Insoles and orthotics for frail adults with arthritis (UK)|Treatment|foot osteoarthritis|feet|home|Northern Ireland|insoles you can actually get into a shoe|footcare,oa,aids,falls
podiatry-nails-diabetes-arthritis-uk|Nail care, diabetes and arthritis-related frailty (UK)|Health|arthritis with diabetes|feet|home|England|when you must not DIY foot care|footcare,nhs,oa,falls
bunions-arthritis-frailty-shoes-uk|Bunions, arthritis and frailty: shoes that still fit life (UK)|Lifestyle|foot osteoarthritis|feet|home|Wales|wide shoes, balance and pride|footcare,oa,falls,confidence
calluses-pressure-spots-frail-arthritis-uk|Calluses and pressure spots in frail arthritic feet (UK)|Health|foot osteoarthritis|feet|home|Scotland|skin that changes how you walk|footcare,falls,oa,nhs
two-walking-aids-arthritis-frailty-uk|Two walking aids in the house: arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Northern Ireland|upstairs stick, downstairs frame, and telling visitors|aids,home,falls,oa
stair-assessments-arthritis-frailty-uk|Stair assessments for frail adults with arthritis (UK)|Lifestyle|arthritis with frailty|hips and knees|home|England|one flight that decides a move|ot,home,falls,oa
downstairs-living-arthritis-frailty-uk|Temporary downstairs living with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|a camp-bed phase that needs a plan|home,ot,sleep,oa
second-hand-equipment-arthritis-frailty-uk|Second-hand equipment for arthritis and frailty: safety checks (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|borrowed frames that might not fit you|aids,falls,ot,oa
short-term-equipment-loans-arthritis-uk|Short-term equipment loans for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Northern Ireland|frames and commodes after a hospital burst|aids,hospital,ot,oa
local-wheelchair-service-arthritis-uk|Local wheelchair services for frail adults with arthritis (UK)|Lifestyle|arthritis with frailty|several joints|home|England|referral routes without promising a particular chair|aids,nhs,oa,ot
hand-therapy-frail-ra-uk|Hand therapy for frail adults with rheumatoid arthritis (UK)|Treatment|rheumatoid arthritis|hands|home|Wales|splints, practice and swelling|ra,ot,treatment,oa
splints-night-hand-oa-frailty-uk|Night splints for hand osteoarthritis in frail adults (UK)|Treatment|hand osteoarthritis|hands|home|Scotland|sleeping with a splint you can don alone|ot,sleep,oa,treatment
heat-versus-ice-frail-arthritis-uk|Heat versus ice for frail adults with arthritis (UK)|Lifestyle|arthritis with frailty|several joints|home|Northern Ireland|simple soothing without damaging thin skin|treatment,oa,home,skin
tens-machine-older-frail-arthritis-uk|TENS machines for older frail adults with arthritis (UK)|Treatment|arthritis with frailty|several joints|home|England|pads, batteries and realistic expectations|treatment,oa,home,polypharmacy
mindfulness-pain-arthritis-frailty-uk|Mindfulness for pain when arthritis and frailty overlap (UK)|Mental Health|arthritis with frailty|several joints|home|Wales|attention skills that do not replace movement|mood,pacing,oa,sleep
talking-therapies-pain-older-arthritis-uk|Talking therapies for pain in older adults with arthritis (UK)|Mental Health|arthritis with frailty|several joints|home|Scotland|NHS talking therapies when pain and mood tangle|mood,nhs,oa,fatigue
social-prescribing-arthritis-frailty-uk|Social prescribing for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|GP surgery|Northern Ireland|link workers, groups and transport|social,nhs,oa,confidence
walking-sport-too-much-frail-arthritis-uk|When walking sport is too much: frail arthritis alternatives (UK)|Exercise|arthritis with frailty|several joints|community class|England|leaving the walking football WhatsApp without shame|exercise,pacing,oa,confidence
swimming-frail-arthritis-changing-rooms-uk|Swimming with frail arthritis: the changing-room problem (UK)|Exercise|arthritis with frailty|several joints|hydrotherapy pool|Wales|water helps, benches and hair-washing may not|hydro,exercise,oa,ot
static-bike-frail-osteoarthritis-uk|Static bikes for frail osteoarthritis (UK)|Exercise|osteoarthritis|knees|home|Scotland|gentle cycling without outdoor traffic|exercise,oa,strength,home
nordic-poles-arthritis-frailty-uk|Nordic poles, arthritis and frailty (UK)|Exercise|arthritis with frailty|several joints|home|Northern Ireland|four points of contact when wrists allow it|aids,exercise,oa,falls
garden-raised-beds-arthritis-frailty-uk|Raised beds and perch seating for frail gardeners with arthritis (UK)|Lifestyle|arthritis with frailty|several joints|home|England|ten-minute garden spells|home,pacing,oa,exercise
allotment-identity-arthritis-frailty-uk|Allotments, identity and frailty if arthritis takes the digging (UK)|Mental Health|arthritis with frailty|several joints|home|Wales|keeping a growing life at a smaller scale|mood,pacing,oa,home
volunteering-seated-arthritis-frailty-uk|Seated volunteering with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|community class|Scotland|purpose without a physical overdraft|social,pacing,oa,mood
