polypharmacy-arthritis-frailty-review-uk|Polypharmacy, arthritis and frailty: asking for a medicines review (UK)|Treatment|arthritis with frailty|several joints|GP surgery|England|too many tablets when joints and balance are already fragile|polypharmacy,cga,treatment,falls
painkillers-older-adults-arthritis-caution-uk|Painkillers in older adults with arthritis: caution, not dosing (UK)|Treatment|arthritis with frailty|several joints|home|Wales|why pain tablets need extra care as we age|polypharmacy,treatment,falls,oa
nsaids-kidneys-heart-frail-arthritis-uk|NSAIDs, kidneys and heart problems in frail arthritis (UK)|Treatment|arthritis with frailty|several joints|GP surgery|Scotland|why anti-inflammatory tablets are not always the first step|polypharmacy,treatment,oa,cga
codeine-drowsiness-falls-arthritis-uk|Codeine, drowsiness and falls when you have arthritis (UK)|Treatment|arthritis with frailty|several joints|home|Northern Ireland|sleepiness from pain medicines and night trips|polypharmacy,falls,sleep,treatment
gabapentinoids-unsteadiness-arthritis-frailty-uk|Gabapentinoids, unsteadiness and arthritis in later life (UK)|Treatment|arthritis with frailty|several joints|GP surgery|England|dizziness from nerve-pain tablets in frail adults|polypharmacy,falls,treatment,oa
topical-nsaids-frail-hand-knee-oa-uk|Topical NSAIDs for frail adults with hand or knee osteoarthritis (UK)|Treatment|osteoarthritis|hands and knees|home|Wales|gels and creams before stronger tablets|treatment,oa,polypharmacy,home
paracetamol-older-frail-arthritis-uk|Paracetamol for frail older adults with arthritis: what to check (UK)|Treatment|arthritis with frailty|several joints|home|Scotland|checking the whole medicine list, not adding quietly|polypharmacy,treatment,oa
steroid-emergency-card-frail-arthritis-uk|Steroid emergency cards when arthritis treatment meets frailty (UK)|Treatment|inflammatory arthritis|several joints|home|Northern Ireland|carrying the right card if steroids are part of care|steroids,ra,pmr,treatment
methotrexate-older-frail-adults-uk|Methotrexate in older frail adults with rheumatoid arthritis (UK)|Treatment|rheumatoid arthritis|several joints|home|England|practical monitoring and infection awareness|ra,treatment,polypharmacy,hospital
bone-protection-steroids-arthritis-frailty-uk|Bone protection on steroids when you also have arthritis and frailty (UK)|Health|inflammatory arthritis|spine and hips|GP surgery|Wales|steroids, bone and falls in one conversation|steroids,bone,falls,pmr
pharmacist-medication-review-frail-arthritis-uk|Pharmacist medication reviews for frail adults with arthritis (UK)|Treatment|arthritis with frailty|several joints|community pharmacy|Scotland|using the pharmacist when the GP list is long|polypharmacy,treatment,nhs,oa
dosette-boxes-arthritis-frailty-hands-uk|Dosette boxes and blister packs when arthritis affects the hands (UK)|Lifestyle|hand osteoarthritis|hands|home|Northern Ireland|getting tablets out when thumbs are painful|ot,polypharmacy,oa,home
grab-rails-arthritis-frailty-home-uk|Grab rails at home: arthritis, frailty and safer rooms (UK)|Lifestyle|arthritis with frailty|several joints|home|England|where rails help when joints and balance are both limited|home,ot,falls,oa
stairlifts-arthritis-frailty-uk-home|Stairlifts, arthritis and frailty: questions before you buy (UK)|Lifestyle|arthritis with frailty|hips and knees|home|Wales|stairs, funding conversations and joint pain|home,ot,socialcare,oa
wet-rooms-arthritis-frailty-washing-uk|Wet rooms and arthritis: washing when you are frail (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|bathroom changes that reduce the scariest transfer of the day|home,ot,falls,oa
rise-recline-chair-arthritis-frailty-uk|Rise-recline chairs for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|hips and knees|home|Northern Ireland|chair height, naps and getting stuck in a tilt|home,ot,oa,strength
kitchen-adaptations-arthritis-frailty-uk|Kitchen adaptations when arthritis and frailty share the house (UK)|Lifestyle|arthritis with frailty|hands and shoulders|home|England|perching stools, kettle tippers and reachable food|ot,home,nutrition,oa
ot-assessment-arthritis-frailty-uk|Occupational therapy assessment for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|what an OT visit can change in a week|ot,home,aids,oa
disabled-facilities-grant-arthritis-frailty-uk|Disabled Facilities Grants, arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|England|home adaptations funding without promising an award|socialcare,home,ot,oa
care-home-life-arthritis-pain-frailty-uk|Life in a care home with arthritis, pain and frailty (UK)|Lifestyle|arthritis with frailty|several joints|care home|Scotland|asking for movement, pain review and dignity|carehome,pacing,treatment,oa
sheltered-housing-arthritis-frailty-uk|Sheltered housing, arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|sheltered housing|Northern Ireland|alarms, neighbours and joint-bad days|home,social,falls,oa
